"MUNIC_RES";"GESTAO";"percent"
"1";"130185";"Municipal plena assist";100
"2";"130260";"Municipal plena assist";100
"3";"211130";"Municipal plena assist";100
"4";"230740";"Estadual plena";100
"5";"240325";"Estadual plena";100
"6";"240800";"Municipal plena assist";100
"7";"260765";"Municipal plena assist";100
"8";"261160";"Municipal plena assist";100
"9";"291080";"Municipal plena assist";100
"10";"292730";"Estadual plena";100
"11";"292740";"Municipal plena assist";100
"12";"310150";"Municipal plena assist";100
"13";"310750";"Estadual plena";100
"14";"311330";"Estadual plena";100
"15";"312385";"Municipal plena assist";100
"16";"313670";"Municipal plena assist";100
"17";"315170";"Municipal plena assist";100
"18";"315590";"Municipal plena assist";100
"19";"315727";"Municipal plena assist";100
"20";"317057";"Municipal plena assist";100
"21";"320050";"Municipal plena assist";100
"22";"320110";"Municipal plena assist";100
"23";"320230";"Municipal plena assist";100
"24";"320420";"Municipal plena assist";100
"25";"320520";"Municipal plena assist";100
"26";"330010";"Estadual plena";3.88349514563107
"27";"330010";"Municipal plena assist";96.1165048543689
"28";"330015";"Municipal plena assist";100
"29";"330020";"Estadual plena";19.047619047619
"30";"330020";"Municipal plena assist";80.9523809523809
"31";"330022";"Estadual plena";3.57142857142857
"32";"330022";"Municipal plena assist";96.4285714285714
"33";"330023";"Estadual plena";8.33333333333333
"34";"330023";"Municipal plena assist";91.6666666666667
"35";"330025";"Municipal plena assist";100
"36";"330030";"Estadual plena";65.4205607476635
"37";"330030";"Municipal plena assist";34.5794392523364
"38";"330040";"Estadual plena";24.8062015503876
"39";"330040";"Municipal plena assist";75.1937984496124
"40";"330045";"Estadual plena";8.11688311688312
"41";"330045";"Municipal plena assist";91.8831168831169
"42";"330050";"Municipal plena assist";100
"43";"330060";"Municipal plena assist";100
"44";"330070";"Estadual plena";17.0212765957447
"45";"330070";"Municipal plena assist";82.9787234042553
"46";"330080";"Estadual plena";2.85714285714286
"47";"330080";"Municipal plena assist";97.1428571428571
"48";"330090";"Municipal plena assist";100
"49";"330093";"Municipal plena assist";100
"50";"330095";"Municipal plena assist";100
"51";"330100";"Municipal plena assist";100
"52";"330110";"Estadual plena";3.84615384615385
"53";"330110";"Municipal plena assist";96.1538461538462
"54";"330115";"Municipal plena assist";100
"55";"330120";"Municipal plena assist";100
"56";"330130";"Municipal plena assist";100
"57";"330140";"Estadual plena";1.38888888888889
"58";"330140";"Municipal plena assist";98.6111111111111
"59";"330150";"Municipal plena assist";100
"60";"330160";"Estadual plena";7.69230769230769
"61";"330160";"Municipal plena assist";92.3076923076923
"62";"330170";"Estadual plena";18.4065934065934
"63";"330170";"Municipal plena assist";81.5934065934066
"64";"330180";"Estadual plena";6.81818181818182
"65";"330180";"Municipal plena assist";93.1818181818182
"66";"330185";"Municipal plena assist";100
"67";"330187";"Estadual plena";50
"68";"330187";"Municipal plena assist";50
"69";"330190";"Estadual plena";19.6969696969697
"70";"330190";"Municipal plena assist";80.3030303030303
"71";"330200";"Estadual plena";12.9032258064516
"72";"330200";"Municipal plena assist";87.0967741935484
"73";"330205";"Municipal plena assist";100
"74";"330210";"Municipal plena assist";100
"75";"330220";"Estadual plena";10
"76";"330220";"Municipal plena assist";90
"77";"330225";"Estadual plena";65.2173913043478
"78";"330225";"Municipal plena assist";34.7826086956522
"79";"330227";"Estadual plena";25
"80";"330227";"Municipal plena assist";75
"81";"330230";"Municipal plena assist";100
"82";"330240";"Municipal plena assist";100
"83";"330245";"Municipal plena assist";100
"84";"330250";"Estadual plena";7.31707317073171
"85";"330250";"Municipal plena assist";92.6829268292683
"86";"330260";"Estadual plena";41.4285714285714
"87";"330260";"Municipal plena assist";58.5714285714286
"88";"330270";"Estadual plena";1.51515151515152
"89";"330270";"Municipal plena assist";98.4848484848485
"90";"330280";"Municipal plena assist";100
"91";"330285";"Estadual plena";31.7073170731707
"92";"330285";"Municipal plena assist";68.2926829268293
"93";"330290";"Estadual plena";5.26315789473684
"94";"330290";"Municipal plena assist";94.7368421052632
"95";"330300";"Municipal plena assist";100
"96";"330310";"Municipal plena assist";100
"97";"330320";"Estadual plena";41.4634146341463
"98";"330320";"Municipal plena assist";58.5365853658537
"99";"330330";"Estadual plena";13.5
"100";"330330";"Municipal plena assist";86.5
"101";"330340";"Municipal plena assist";100
"102";"330350";"Estadual plena";25.8064516129032
"103";"330350";"Municipal plena assist";74.1935483870968
"104";"330360";"Municipal plena assist";100
"105";"330370";"Estadual plena";1.5625
"106";"330370";"Municipal plena assist";98.4375
"107";"330380";"Estadual plena";23.6842105263158
"108";"330380";"Municipal plena assist";76.3157894736842
"109";"330385";"Municipal plena assist";100
"110";"330390";"Municipal plena assist";100
"111";"330395";"Estadual plena";40.625
"112";"330395";"Municipal plena assist";59.375
"113";"330400";"Estadual plena";31.8181818181818
"114";"330400";"Municipal plena assist";68.1818181818182
"115";"330410";"Municipal plena assist";100
"116";"330411";"Estadual plena";70.5882352941177
"117";"330411";"Municipal plena assist";29.4117647058824
"118";"330412";"Estadual plena";46.6666666666667
"119";"330412";"Municipal plena assist";53.3333333333333
"120";"330414";"Estadual plena";35.4838709677419
"121";"330414";"Municipal plena assist";64.5161290322581
"122";"330415";"Municipal plena assist";100
"123";"330420";"Estadual plena";25.9668508287293
"124";"330420";"Municipal plena assist";74.0331491712707
"125";"330430";"Municipal plena assist";100
"126";"330440";"Estadual plena";61.5384615384615
"127";"330440";"Municipal plena assist";38.4615384615385
"128";"330450";"Estadual plena";4.54545454545455
"129";"330450";"Municipal plena assist";95.4545454545455
"130";"330452";"Estadual plena";2.94117647058824
"131";"330452";"Municipal plena assist";97.0588235294118
"132";"330455";"Estadual plena";18.7589498806683
"133";"330455";"Municipal plena assist";81.2410501193317
"134";"330460";"Municipal plena assist";100
"135";"330470";"Municipal plena assist";100
"136";"330475";"Municipal plena assist";100
"137";"330480";"Municipal plena assist";100
"138";"330490";"Estadual plena";29.693741677763
"139";"330490";"Municipal plena assist";70.306258322237
"140";"330500";"Municipal plena assist";100
"141";"330510";"Estadual plena";16.5775401069519
"142";"330510";"Municipal plena assist";83.4224598930481
"143";"330513";"Municipal plena assist";100
"144";"330515";"Estadual plena";7.69230769230769
"145";"330515";"Municipal plena assist";92.3076923076923
"146";"330520";"Estadual plena";55.1724137931034
"147";"330520";"Municipal plena assist";44.8275862068966
"148";"330530";"Municipal plena assist";100
"149";"330540";"Estadual plena";22.2222222222222
"150";"330540";"Municipal plena assist";77.7777777777778
"151";"330550";"Estadual plena";6.66666666666667
"152";"330550";"Municipal plena assist";93.3333333333333
"153";"330555";"Estadual plena";10
"154";"330555";"Municipal plena assist";90
"155";"330560";"Estadual plena";6.45161290322581
"156";"330560";"Municipal plena assist";93.5483870967742
"157";"330570";"Estadual plena";4.34782608695652
"158";"330570";"Municipal plena assist";95.6521739130435
"159";"330575";"Estadual plena";37.5
"160";"330575";"Municipal plena assist";62.5
"161";"330580";"Estadual plena";2.29007633587786
"162";"330580";"Municipal plena assist";97.7099236641221
"163";"330590";"Municipal plena assist";100
"164";"330600";"Estadual plena";17.3913043478261
"165";"330600";"Municipal plena assist";82.6086956521739
"166";"330610";"Estadual plena";10.2564102564103
"167";"330610";"Municipal plena assist";89.7435897435898
"168";"330620";"Municipal plena assist";100
"169";"330630";"Estadual plena";54.2028985507246
"170";"330630";"Municipal plena assist";45.7971014492754
"171";"350315";"Estadual plena";100
"172";"351870";"Municipal plena assist";100
"173";"351880";"Municipal plena assist";100
"174";"352930";"Municipal plena assist";100
"175";"354340";"Estadual plena";100
"176";"355410";"Estadual plena";100
"177";"410445";"Estadual plena";50
"178";"410445";"Municipal plena assist";50
